xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorgproto 2018.4-1
xsel 1.2.0.20160929-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-1
yarn 1.6.0-1
youtube-dl 2018.05.01-1
zathura 0.3.9-2
zathura-pdf-poppler 0.2.9-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zotero 4.0.29.10-1
zsh 5.5.1-1
zstd 1.3.4-1
zvbi 0.2.35-1
zziplib 0.13.69-1
